GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Solar_Distributed,2035.07.12.12,0.4330360824670108
Anhui-Solar_Distributed,2035.07.12.16,0.2002752777470127
Anhui-Solar_Distributed,2035.07.12.20,0.0
Anhui-Solar_Distributed,2035.08.10.00,0.0
Anhui-Solar_Distributed,2035.08.10.04,0.0
Anhui-Solar_Distributed,2035.08.10.08,0.2801055915347072
Anhui-Solar_Distributed,2035.08.10.12,0.4823841691309584
Anhui-Solar_Distributed,2035.08.10.16,0.2023091326979684
Anhui-Solar_Distributed,2035.08.10.20,0.0
Anhui-Solar_Distributed,2035.09.29.00,0.0
Anhui-Solar_Distributed,2035.09.29.04,0.0
Anhui-Solar_Distributed,2035.09.29.08,0.2867459052599712
Anhui-Solar_Distributed,2035.09.29.12,0.5524662110592367
Anhui-Solar_Distributed,2035.09.29.16,0.156420719489822
Anhui-Solar_Distributed,2035.09.29.20,0.0
Anhui-Solar_Distributed,2035.10.20.00,0.0
Anhui-Solar_Distributed,2035.10.20.04,0.0
Anhui-Solar_Distributed,2035.10.20.08,0.2473177276593349
Anhui-Solar_Distributed,2035.10.20.12,0.3511775099689759
Anhui-Solar_Distributed,2035.10.20.16,0.1032340373560263
Anhui-Solar_Distributed,2035.10.20.20,0.0
Anhui-Solar_Distributed,2035.11.14.00,0.0
Anhui-Solar_Distributed,2035.11.14.04,0.0
Anhui-Solar_Distributed,2035.11.14.08,0.2733158746150825
Anhui-Solar_Distributed,2035.11.14.12,0.6859677226946435
Anhui-Solar_Distributed,2035.11.14.16,0.1646197291315611
Anhui-Solar_Distributed,2035.11.14.20,0.0
Anhui-Solar_Distributed,2035.12.25.00,0.0
Anhui-Solar_Distributed,2035.12.25.04,0.0
Anhui-Solar_Distributed,2035.12.25.08,0.195132188033009
Anhui-Solar_Distributed,2035.12.25.12,0.4830991677932164
Anhui-Solar_Distributed,2035.12.25.16,0.0490013290492097
Anhui-Solar_Distributed,2035.12.25.20,0.0
Anhui-Solar_Distributed,2040.01.02.00,0.0
Anhui-Solar_Distributed,2040.01.02.04,0.0
Anhui-Solar_Distributed,2040.01.02.08,0.0758656047402895
