load_zone,TIMEPOINT,zone_demand_mw
Tianjin,2025.02.08.04,7334.593506944245
Tibet,2025.02.08.04,676.5054469360082
West_Inner_Mongolia,2025.02.08.04,34850.25927972223
Xinjiang,2025.02.08.04,37790.88731885891
Yunnan,2025.02.08.04,14630.112182111889
Zhejiang,2025.02.08.04,48283.83366786456
Anhui,2025.02.08.08,25529.92935370816
Beijing,2025.02.08.08,16419.8022572809
Chongqing,2025.02.08.08,11288.028577846644
East_Inner_Mongolia,2025.02.08.08,12672.304783176154
Fujian,2025.02.08.08,24434.10856824455
Gansu,2025.02.08.08,18020.62116884557
Guangdong,2025.02.08.08,57973.9500756198
Guangxi,2025.02.08.08,19060.18265987867
Guizhou,2025.02.08.08,18513.152768784494
Hainan,2025.02.08.08,3788.437464863349
Hebei,2025.02.08.08,47272.484520903774
Heilongjiang,2025.02.08.08,13363.955762620615
Henan,2025.02.08.08,38771.93725595753
Hubei,2025.02.08.08,21924.254057803093
Hunan,2025.02.08.08,21600.869502279675
Jiangsu,2025.02.08.08,68788.51639753228
Jiangxi,2025.02.08.08,16825.11133743079
Jilin,2025.02.08.08,10111.663641300467
Liaoning,2025.02.08.08,29100.27006750338
Ningxia,2025.02.08.08,12269.07171854908
Qinghai,2025.02.08.08,10801.809095551576
Shaanxi,2025.02.08.08,19560.3021239666
Shandong,2025.02.08.08,65562.52190244992
Shanghai,2025.02.08.08,20615.682097148238
Shanxi,2025.02.08.08,28352.375324127697
Sichuan,2025.02.08.08,26544.908100676927
Tianjin,2025.02.08.08,9168.241883680306
Tibet,2025.02.08.08,735.672088897266
West_Inner_Mongolia,2025.02.08.08,36062.990613872105
Xinjiang,2025.02.08.08,38708.75519974589
Yunnan,2025.02.08.08,17547.093801871757
Zhejiang,2025.02.08.08,52341.99077344936
Anhui,2025.02.08.12,30170.757824106484
Beijing,2025.02.08.12,20539.33051252615
Chongqing,2025.02.08.12,14148.9893205197
East_Inner_Mongolia,2025.02.08.12,13301.593442930394
Fujian,2025.02.08.12,29199.673431769475
Gansu,2025.02.08.12,19153.814663140533
Guangdong,2025.02.08.12,67558.78479481523
Guangxi,2025.02.08.12,23122.328092245112
Guizhou,2025.02.08.12,21283.98110409966
Hainan,2025.02.08.12,4123.374252629636
Hebei,2025.02.08.12,59238.10554058832
Heilongjiang,2025.02.08.12,12447.336265449654
Henan,2025.02.08.12,46798.54361502727
Hubei,2025.02.08.12,25803.74881694801
Hunan,2025.02.08.12,27006.44370543335
Jiangsu,2025.02.08.12,79583.82734221821
Jiangxi,2025.02.08.12,20175.65730743313
Jilin,2025.02.08.12,10691.813645384764
Liaoning,2025.02.08.12,30518.64508350179
Ningxia,2025.02.08.12,12418.076625572396
Qinghai,2025.02.08.12,10660.33408913358
Shaanxi,2025.02.08.12,24894.127742971054
Shandong,2025.02.08.12,86266.47618743412
Shanghai,2025.02.08.12,25353.9042585113
Shanxi,2025.02.08.12,31934.86975135475
Sichuan,2025.02.08.12,37809.78573761765
Tianjin,2025.02.08.12,9168.241883680306
Tibet,2025.02.08.12,1014.7581704040124
West_Inner_Mongolia,2025.02.08.12,37482.32255011358
Xinjiang,2025.02.08.12,41102.44131444679
Yunnan,2025.02.08.12,19975.699110088397
Zhejiang,2025.02.08.12,56701.79869232399
Anhui,2025.02.08.16,30805.48543373429
Beijing,2025.02.08.16,20349.532508058917
Chongqing,2025.02.08.16,15116.135853954636
