load_zone,TIMEPOINT,zone_demand_mw
Hebei,2025.01.22.10,49086.8221839841
Heilongjiang,2025.01.22.10,8811.3897753206
Henan,2025.01.22.10,43075.07539450775
Hubei,2025.01.22.10,23822.41718121445
Hunan,2025.01.22.10,23697.5887140971
Jiangsu,2025.01.22.10,76914.2257922033
Jiangxi,2025.01.22.10,17318.3071437856
Jilin,2025.01.22.10,9918.27815083554
Liaoning,2025.01.22.10,28483.44755426085
Ningxia,2025.01.22.10,10993.5928747102
Qinghai,2025.01.22.10,8175.503944670701
Shaanxi,2025.01.22.10,20953.76452447665
Shandong,2025.01.22.10,65000.0
Shanghai,2025.01.22.10,20623.4298527881
Shanxi,2025.01.22.10,27518.89829200305
Sichuan,2025.01.22.10,31167.2026656724
Tianjin,2025.01.22.10,11267.2379991834
Tibet,2025.01.22.10,1121.4661998416204
West_Inner_Mongolia,2025.01.22.10,31380.89828791405
Xinjiang,2025.01.22.10,33673.67635397795
Yunnan,2025.01.22.10,22295.3912106449
Zhejiang,2025.01.22.10,53266.84553185736
Anhui,2025.01.22.11,28653.080235182824
Beijing,2025.01.22.11,17395.718104789503
Chongqing,2025.01.22.11,13060.891620341275
East_Inner_Mongolia,2025.01.22.11,7240.325815756429
Fujian,2025.01.22.11,25313.258614832477
Gansu,2025.01.22.11,15947.89276762315
Guangdong,2025.01.22.11,62869.39017881702
Guangxi,2025.01.22.11,22261.02762323445
Guizhou,2025.01.22.11,19274.012539951076
Hainan,2025.01.22.11,3420.305739953695
Hebei,2025.01.22.11,51844.0799875367
Heilongjiang,2025.01.22.11,8654.9332200097
Henan,2025.01.22.11,46454.61873658822
Hubei,2025.01.22.11,24790.60081361157
Hunan,2025.01.22.11,25904.0730694121
Jiangsu,2025.01.22.11,80639.53949021635
Jiangxi,2025.01.22.11,18102.4230779669
Jilin,2025.01.22.11,10056.57448099602
Liaoning,2025.01.22.11,28822.26796204993
Ningxia,2025.01.22.11,11026.7700411667
Qinghai,2025.01.22.11,8148.558140946916
Shaanxi,2025.01.22.11,22210.824016927825
Shandong,2025.01.22.11,67500.0
Shanghai,2025.01.22.11,21686.28901865125
Shanxi,2025.01.22.11,28336.536415433475
Sichuan,2025.01.22.11,33895.01242849575
Tianjin,2025.01.22.11,11385.24042451185
Tibet,2025.01.22.11,1210.7330999208102
West_Inner_Mongolia,2025.01.22.11,31683.70419900888
Xinjiang,2025.01.22.11,34178.644419232376
Yunnan,2025.01.22.11,23016.9087371945
Zhejiang,2025.01.22.11,54331.70771359652
Anhui,2025.01.22.12,29798.9911827147
Beijing,2025.01.22.12,18314.0186979755
Chongqing,2025.01.22.12,13756.2801127211
East_Inner_Mongolia,2025.01.22.12,7326.984383205267
Fujian,2025.01.22.12,26390.0113289763
Gansu,2025.01.22.12,16187.3145208382
Guangdong,2025.01.22.12,65181.2720538936
Guangxi,2025.01.22.12,23283.6492331964
Guizhou,2025.01.22.12,19922.405885506
Hainan,2025.01.22.12,3491.20229286672
Hebei,2025.01.22.12,54601.3377910893
Heilongjiang,2025.01.22.12,8498.4766646988
Henan,2025.01.22.12,49834.1620786687
Hubei,2025.01.22.12,25758.7844460087
Hunan,2025.01.22.12,28110.5574247271
Jiangsu,2025.01.22.12,84364.8531882294
Jiangxi,2025.01.22.12,18886.5390121482
Jilin,2025.01.22.12,10194.8708111565
Liaoning,2025.01.22.12,29161.088369839
Ningxia,2025.01.22.12,11059.9472076232
Qinghai,2025.01.22.12,8121.61233722313
Shaanxi,2025.01.22.12,23467.883509379
Shandong,2025.01.22.12,70000.0
Shanghai,2025.01.22.12,22749.1481845144
Shanxi,2025.01.22.12,29154.1745388639
Sichuan,2025.01.22.12,36622.8221913191
