gen_tech,load_zones,period,planned_capacity_mw
Hydro_Pumped,Shanxi,2048,7700.0
Hydro_Pumped,Sichuan,2048,18890.0
Hydro_Pumped,Tianjin,2048,0.0
Hydro_Pumped,Zhejiang,2048,21495.0
Hydro_Pumped,Chongqing,2048,5000.0
Hydro_Pumped,Jiangxi,2048,7200.0
Hydro_Pumped,Ningxia,2048,0.0
Hydro_Pumped,Shaanxi,2048,13820.0
Hydro_Pumped,West_Inner_Mongolia,2048,7500.0
Hydro_Pumped,Xinjiang,2048,16200.0
Hydro_Pumped,Guizhou,2048,13850.0
Hydro_Pumped,Qinghai,2048,5800.0
Hydro_Pumped,Yunnan,2048,13300.0
Hydro_Pumped,Hainan,2048,2400.0
Hydro_Pumped,Beijing,2048,0.0
Hydro_Pumped,Tibet,2048,0.0
Hydro_Pumped,Anhui,2053,6200.0
Hydro_Pumped,East_Inner_Mongolia,2053,0.0
Hydro_Pumped,Fujian,2053,11050.0
Hydro_Pumped,Gansu,2053,18350.0
Hydro_Pumped,Guangdong,2053,26200.0
Hydro_Pumped,Guangxi,2053,17200.0
Hydro_Pumped,Hebei,2053,12600.0
Hydro_Pumped,Heilongjiang,2053,13200.0
Hydro_Pumped,Henan,2053,10900.0
Hydro_Pumped,Hubei,2053,0.0
Hydro_Pumped,Hunan,2053,21600.0
Hydro_Pumped,Jiangsu,2053,6000.0
Hydro_Pumped,Jilin,2053,11600.0
Hydro_Pumped,Liaoning,2053,10500.0
Hydro_Pumped,Shandong,2053,2980.0
Hydro_Pumped,Shanxi,2053,7700.0
Hydro_Pumped,Sichuan,2053,18890.0
Hydro_Pumped,Tianjin,2053,0.0
Hydro_Pumped,Zhejiang,2053,21495.0
Hydro_Pumped,Chongqing,2053,5000.0
Hydro_Pumped,Jiangxi,2053,7200.0
Hydro_Pumped,Ningxia,2053,0.0
Hydro_Pumped,Shaanxi,2053,13820.0
Hydro_Pumped,West_Inner_Mongolia,2053,7500.0
Hydro_Pumped,Xinjiang,2053,16200.0
Hydro_Pumped,Guizhou,2053,13850.0
Hydro_Pumped,Qinghai,2053,5800.0
Hydro_Pumped,Yunnan,2053,13300.0
Hydro_Pumped,Hainan,2053,2400.0
Hydro_Pumped,Beijing,2053,0.0
Hydro_Pumped,Tibet,2053,0.0
Hydro_Pumped,Anhui,2058,6200.0
Hydro_Pumped,East_Inner_Mongolia,2058,0.0
Hydro_Pumped,Fujian,2058,11050.0
Hydro_Pumped,Gansu,2058,18350.0
Hydro_Pumped,Guangdong,2058,26200.0
Hydro_Pumped,Guangxi,2058,17200.0
Hydro_Pumped,Hebei,2058,12600.0
Hydro_Pumped,Heilongjiang,2058,13200.0
Hydro_Pumped,Henan,2058,10900.0
Hydro_Pumped,Hubei,2058,0.0
Hydro_Pumped,Hunan,2058,21600.0
Hydro_Pumped,Jiangsu,2058,6000.0
Hydro_Pumped,Jilin,2058,11600.0
Hydro_Pumped,Liaoning,2058,10500.0
Hydro_Pumped,Shandong,2058,2980.0
Hydro_Pumped,Shanxi,2058,7700.0
Hydro_Pumped,Sichuan,2058,18890.0
Hydro_Pumped,Tianjin,2058,0.0
Hydro_Pumped,Zhejiang,2058,21495.0
Hydro_Pumped,Chongqing,2058,5000.0
Hydro_Pumped,Jiangxi,2058,7200.0
Hydro_Pumped,Ningxia,2058,0.0
Hydro_Pumped,Shaanxi,2058,13820.0
Hydro_Pumped,West_Inner_Mongolia,2058,7500.0
Hydro_Pumped,Xinjiang,2058,16200.0
Hydro_Pumped,Guizhou,2058,13850.0
Hydro_Pumped,Qinghai,2058,5800.0
Hydro_Pumped,Yunnan,2058,13300.0
Hydro_Pumped,Hainan,2058,2400.0
Hydro_Pumped,Beijing,2058,0.0
Hydro_Pumped,Tibet,2058,0.0
